timestamps,humidity,temperature,lightness,count
1598637507.0,77.8,29.4,0.0,2701
1598637807.0,78.2,29.4,0.0,2702
1598638108.0,78.2,29.3,0.0,2703
1598638408.0,78.0,29.3,0.0,2704
1598638708.0,77.7,29.3,0.0,2705
1598639009.0,78.0,29.3,0.0,2706
1598639309.0,78.0,29.3,0.0,2707
1598639609.0,77.7,29.3,0.0,2708
1598639909.0,77.4,29.3,0.0,2709
1598640210.0,77.9,29.3,0.0,2710
1598640510.0,77.4,29.2,0.0,2711
1598640810.0,77.8,29.2,0.0,2712
1598641111.0,77.8,29.2,0.0,2713
1598641411.0,77.8,29.2,0.0,2714
1598641711.0,77.7,29.1,0.0,2715
1598642011.0,77.5,29.1,0.0,2716
1598642312.0,77.5,29.1,0.0,2717
1598642612.0,78.0,29.1,0.0,2718
1598642912.0,77.3,29.1,0.0,2719
1598643212.0,77.3,29.1,0.0,2720
1598643513.0,77.2,29.1,0.0,2721
1598643813.0,77.3,29.1,0.0,2722
1598644113.0,77.5,29.1,0.0,2723
1598644414.0,77.4,29.1,0.0,2724
1598644714.0,77.7,29.0,0.0,2725
1598645014.2857144,77.7,29.0,0.0,2726.0
1598645314.5714285,77.7,29.0,0.0,2727.0
1598645614.857143,77.7,29.0,0.0,2728.0
1598645915.142857,77.7,29.0,0.0,2729.0
1598646215.4285715,77.7,29.0,0.0,2730.0
1598646515.7142856,77.7,29.0,0.0,2731.0
1598646816.0,77.7,29.0,0.0,2732
1598647116.0,77.2,29.0,0.0,2733
1598647416.0,76.9,29.0,0.0,2734
1598647717.0,77.1,29.0,0.0,2735
1598648017.0,77.0,29.0,0.0,2736
1598648317.0,77.4,29.0,0.0,2737
1598648617.0,77.5,29.0,0.0,2738
1598648918.0,76.8,29.0,0.0,2739
1598649218.0,77.0,28.9,0.0,2740
1598649518.0,77.0,29.0,0.0,2741
1598649819.0,76.5,28.9,0.0,2742
1598650119.0,76.7,28.9,0.0,2743
1598650419.0,76.8,28.9,0.0,2744
1598650719.0,76.9,28.9,0.83,2745
1598651020.0,76.8,28.9,2.5,2746
1598651320.0,76.3,28.9,5.0,2747
